a_bin,e_bin,avg_delta_a,avg_delta_e
"(26.328131101934815, 48.7993510975882)","(3.122198700851207e-43, 0.04736842105263163)",2.5723493562080937,0.06075418146371988
"(26.328131101934815, 48.7993510975882)","(0.04736842105263163, 0.09473684210526326)",1.0176882914088037,0.0374270198496901
"(26.328131101934815, 48.7993510975882)","(0.09473684210526326, 0.1421052631578949)",1.8834165618270806,0.08624292638524426
"(26.328131101934815, 48.7993510975882)","(0.1421052631578949, 0.18947368421052652)",8.745437373713761,0.08779896310625086
"(26.328131101934815, 48.7993510975882)","(0.18947368421052652, 0.23684210526315813)",-1.7801405056734905,-0.024084424271337834
"(26.328131101934815, 48.7993510975882)","(0.23684210526315813, 0.2842105263157898)",1.0985071880139479,0.0014360022570404465
"(26.328131101934815, 48.7993510975882)","(0.2842105263157898, 0.3315789473684214)",-4.457693495882049,-0.037841064490123144
"(26.328131101934815, 48.7993510975882)","(0.3315789473684214, 0.37894736842105303)",-4.907690047848309,-0.031952795235687864
"(26.328131101934815, 48.7993510975882)","(0.37894736842105303, 0.42631578947368465)",23.15175380385011,0.10988404878347585
"(26.328131101934815, 48.7993510975882)","(0.42631578947368465, 0.47368421052631626)",0.533251507026911,0.0029534221045848796
"(48.7993510975882, 71.27057109324159)","(0.09473684210526326, 0.1421052631578949)",-0.0007549209714206029,0.004231546191830533
"(48.7993510975882, 71.27057109324159)","(0.1421052631578949, 0.18947368421052652)",0.0011317786088991255,0.0037404181801052247
"(48.7993510975882, 71.27057109324159)","(0.18947368421052652, 0.23684210526315813)",0.0057967758680663095,0.0025957787445748553
"(48.7993510975882, 71.27057109324159)","(0.23684210526315813, 0.2842105263157898)",-0.003353280969403411,-0.002903899789674221
"(48.7993510975882, 71.27057109324159)","(0.2842105263157898, 0.3315789473684214)",0.8285876572976232,0.010720471908022037
"(48.7993510975882, 71.27057109324159)","(0.3315789473684214, 0.37894736842105303)",0.4281459562380334,0.006827312991000415
"(48.7993510975882, 71.27057109324159)","(0.37894736842105303, 0.42631578947368465)",3.2056374426298184,0.02384132177102846
"(48.7993510975882, 71.27057109324159)","(0.42631578947368465, 0.47368421052631626)",1.1816157632726394,-0.017550127076662425
"(48.7993510975882, 71.27057109324159)","(0.47368421052631626, 0.5210526315789479)",-2.9337753042805934,-0.018239331054492464
"(48.7993510975882, 71.27057109324159)","(0.5210526315789479, 0.5684210526315796)",44.23230873116128,0.046643838825955124
"(48.7993510975882, 71.27057109324159)","(0.5684210526315796, 0.6157894736842112)",2.9541404061597754,-0.044114611323800346
"(71.27057109324159, 93.74179108889496)","(0.37894736842105303, 0.42631578947368465)",0.014385226311247834,0.0036510797317560093
"(71.27057109324159, 93.74179108889496)","(0.42631578947368465, 0.47368421052631626)",-0.02631863008725637,0.0004532990753473655
"(71.27057109324159, 93.74179108889496)","(0.47368421052631626, 0.5210526315789479)",0.24385243519503774,0.003195398342255784
"(71.27057109324159, 93.74179108889496)","(0.5210526315789479, 0.5684210526315796)",-0.8709839480065782,-0.0048554077566256406
"(71.27057109324159, 93.74179108889496)","(0.5684210526315796, 0.6157894736842112)",5.667915095410036,0.02038107089156243
"(71.27057109324159, 93.74179108889496)","(0.6157894736842112, 0.6631578947368428)",-25.87304494438249,-0.20487305854210192
"(71.27057109324159, 93.74179108889496)","(0.6631578947368428, 0.7105263157894744)",-37.54642452118577,-0.18459307616949772
"(93.74179108889496, 116.21301108454834)","(0.5210526315789479, 0.5684210526315796)",0.053257861664036454,-0.0015514379734361539
"(93.74179108889496, 116.21301108454834)","(0.5684210526315796, 0.6157894736842112)",-0.08333395312540048,0.0006417134463515967
"(93.74179108889496, 116.21301108454834)","(0.6157894736842112, 0.6631578947368428)",1.8402587883908694,0.005273996711540413
"(93.74179108889496, 116.21301108454834)","(0.6631578947368428, 0.7105263157894744)",-21.476121528049447,-0.09959563039261424
"(93.74179108889496, 116.21301108454834)","(0.7105263157894744, 0.7578947368421061)",6.538006520029747,-0.040741848705786864
"(116.21301108454834, 138.68423108020173)","(0.6157894736842112, 0.6631578947368428)",-0.056976524167697565,-0.00016131739692932802
"(116.21301108454834, 138.68423108020173)","(0.6631578947368428, 0.7105263157894744)",0.008638998990256093,-0.001415832131630276
"(116.21301108454834, 138.68423108020173)","(0.7105263157894744, 0.7578947368421061)",60.79535570372733,0.02736125792828305
"(116.21301108454834, 138.68423108020173)","(0.7578947368421061, 0.8052631578947377)",-44.317576812116265,-0.1826976740565526
"(138.68423108020173, 161.1554510758551)","(0.6631578947368428, 0.7105263157894744)",-0.11694704473030271,0.0009111237676378836
"(138.68423108020173, 161.1554510758551)","(0.7105263157894744, 0.7578947368421061)",1.2184108313964033,0.002823912698583353
"(138.68423108020173, 161.1554510758551)","(0.7578947368421061, 0.8052631578947377)",3.1153841709365033,-0.2100102845694675
"(161.1554510758551, 183.6266710715085)","(0.7105263157894744, 0.7578947368421061)",-0.2923381271217285,0.0002524666544274264
"(161.1554510758551, 183.6266710715085)","(0.7578947368421061, 0.8052631578947377)",18.686655349557224,0.011745926207879709
"(183.6266710715085, 206.09789106716187)","(0.7578947368421061, 0.8052631578947377)",1.1478022070779161,0.0003409035717655551
"(183.6266710715085, 206.09789106716187)","(0.8052631578947377, 0.8526315789473693)",860.4498747216088,0.0695705985057637
"(206.09789106716187, 228.56911106281524)","(0.7578947368421061, 0.8052631578947377)",0.6372635513649471,0.0006515747522836124
"(206.09789106716187, 228.56911106281524)","(0.8052631578947377, 0.8526315789473693)",18.012023223767358,0.009689638168918435
"(228.56911106281524, 251.04033105846864)","(0.8052631578947377, 0.8526315789473693)",11.816748061128024,0.0033117429001969234
"(251.04033105846864, 273.51155105412204)","(0.8052631578947377, 0.8526315789473693)",1.6984162756160306,0.0009622415268745188
"(251.04033105846864, 273.51155105412204)","(0.8526315789473693, 0.9000000000000009)",677.1050874120069,0.06384039347627962
"(273.51155105412204, 295.98277104977535)","(0.8052631578947377, 0.8526315789473693)",-0.42413453110746957,-0.00045790689391433936
"(273.51155105412204, 295.98277104977535)","(0.8526315789473693, 0.9000000000000009)",-110.67768389461853,-0.11041138735178796
"(295.98277104977535, 318.4539910454288)","(0.8052631578947377, 0.8526315789473693)",0.23343194721434202,0.00011834681335376462
"(295.98277104977535, 318.4539910454288)","(0.8526315789473693, 0.9000000000000009)",-206.713765631863,-0.25171433602184035
"(318.4539910454288, 340.9252110410822)","(0.8526315789473693, 0.9000000000000009)",-75.48987418834712,-0.039930624824634275
"(340.9252110410822, 363.3964310367355)","(0.8526315789473693, 0.9000000000000009)",-19.73794853532014,-0.011068793381556197
"(363.3964310367355, 385.86765103238895)","(0.8526315789473693, 0.9000000000000009)",19.467357058316452,0.004974704425934395
"(385.86765103238895, 408.33887102804226)","(0.8526315789473693, 0.9000000000000009)",-18.7900447051976,-0.005647747419836757
"(408.33887102804226, 430.8100910236957)","(0.8526315789473693, 0.9000000000000009)",17.915440205213542,0.003555367258969766
"(430.8100910236957, 453.281311019349)","(0.8526315789473693, 0.9000000000000009)",0.8820606468249821,7.60027209090186e-05
